time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
2019-12-18 09:30:00-05:00,42.79,43.06,42.24,42.3,41.451177955780445,40.834679233937216,37.44866423303564,31.38288225107463,39182983,0.0,-9072465668,-9072465668,-9111648651,-9111648651,-9381080135.44,83939329.9985342,83939329.9985342,86987464.06366809,,
2019-12-19 09:30:00-05:00,42.63,43.34,42.6,42.83,41.7575828544959,41.11972505766047,37.66831059087093,31.496783920218167,45950709,0.0,-9065697942,-9065697942,-9111648651,-9111648651,-9366792592.12,86688884.09333801,86688884.09333801,86944809.78219236,,
2019-12-20 09:30:00-05:00,43.44,44.26,43.26,44.15,42.289231109052366,41.55262147799469,37.93286934226395,31.622686567778185,68216726,0.9515434627895404,-8997481216,-8997481216,-9065697942,-9065697942,-9350317274.38,95839474.56252576,95839474.56252576,88215476.17938285,,
2019-12-23 09:30:00-05:00,44.58,45.625,44.39,45.46,42.99384641815184,42.11081840970973,38.24009916502869,31.76037127854656,56065288,0.2437896620677595,-8941415928,-8941415928,-8997481216,-8997481216,-9334053299.78,107735546.55967905,107735546.55967905,91004057.6622823,,
2019-12-24 09:30:00-05:00,46.1,46.61,45.77,46.54,43.78188054745143,42.74355863689405,38.57887062768058,31.907432260849586,44432192,0.0,-8896983736,-8896983736,-8941415928,-8941415928,-9317797046.0,119804965.17262173,119804965.17262173,95118473.02090222,,
2019-12-26 09:30:00-05:00,46.99,47.31,45.66,46.63,44.41479598135111,43.29876454590919,38.907488153081374,32.05392547218441,57712693,0.3281470834800294,-8896983736,-8896983736,-8954696429,-8954696429,-9303537893.78,133497029.63283156,133497029.63283156,100601123.96546356,,
2019-12-27 09:30:00-05:00,46.85,46.88,45.975,46.18,44.80706354105087,43.7103696107793,39.20432537132295,32.194483427685064,36624234,0.0,-8954696429,-8954696429,-8991320663,-8991320663,-9290872511.34,135672134.79393196,135672134.79393196,105611268.36953048,,
2019-12-30 09:30:00-05:00,46.14,46.17,44.66,45.52,44.96549386526178,43.96888823781083,39.46210800922814,32.32707563238471,41235735,0.0,-8991320663,-8991320663,-9032556398,-9032556398,-9278291639.5,129054443.24533749,129054443.24533749,108960293.3517886,,
2019-12-31 09:30:00-05:00,45.07,46.09,44.9223,45.86,45.16427300631472,44.23904706098071,39.723246457831074,32.461731596241584,31791204,0.0,-9000765194,-9000765194,-9032556398,-9032556398,-9264280718.7,125942709.47874928,125942709.47874928,111386352.79849727,,
2020-01-02 09:30:00-05:00,46.86,49.25,46.63,49.1,46.03887900491145,44.93346890941204,40.10597109220532,32.62728650573172,80764599,1.6701484869848084,-8920000595,-8920000595,-9000765194,-9000765194,-9249707467.26,131803648.9169445,131803648.9169445,114303109.38684689,,
